city,gini,Area,freeman_centralization,founding century,continent,violent crime,property crime,entropy,crime,cv,structure,Population
new-york,0.96540695566472812,11642.0,0.0058908908561735463,17.0,North America,46357.0,142000.0,0.70520320033887263,47.33,0.031594368132183019,planned,20464000.0
tampa,0.90883019587853331,2479.0,0.0062296527817683467,19.0,North America,2597.0,12960.0,0.77639524398973092,60.73,0.030097570684312281,unplanned,2513000.0
indianapolis,0.90258292208612212,1829.0,0.0098726587734933539,19.0,North America,9759.0,47419.0,0.78340446020929777,,0.030282927226741564,planned,1523000.0
detroit,0.90368851881731693,3463.0,0.018535937586454932,18.0,North America,18094.0,50929.0,0.76919459644622645,,0.038193837686488617,unplanned,3724000.0
reno,0.90493950262638945,425.0,0.012724685318838211,19.0,North America,1473.0,8810.0,0.76232845713632647,,0.045500134420121754,unplanned,397000.0
chicago,0.88022246137658933,6856.0,0.010751304208354556,19.0,North America,,120407.0,0.80044366671376721,54.52,0.026886667227864654,partly,9121000.0
sacramento,0.970374062105683,1220.0,0.010562199482025338,19.0,North America,4165.0,21001.0,0.63290132253353526,47.51,0.072952916252305683,unplanned,1771000.0
portland,0.92154838791994675,352.0,0.0089081995719611489,19.0,North America,3105.0,26495.0,0.77405268127517046,39.22,0.026652495300212981,unplanned,205000.0
phoenix,0.89340421780477652,3276.0,0.0051167554408656189,19.0,North America,8730.0,65617.0,0.80769492943817445,41.41,0.020555413538203691,planned,4076000.0
dallas,0.92923316020792412,5175.0,0.0054798580938779529,19.0,North America,10221.0,71364.0,0.76347761537963699,59.9,0.028502822281901131,partly,5874000.0
philadelphia,0.94311010284359342,5131.0,0.012147558674160867,17.0,North America,19163.0,55888.0,0.72142009858101852,68.58,0.042532555615741194,planned,5474000.0
los-angeles,0.92174773531048326,6299.0,0.0061610705851969927,18.0,North America,24070.0,94240.0,0.78083725847419316,65.74,0.022575729789921346,unplanned,14900000.0
mobile-al,0.93119397532228942,578.0,0.018051700040074687,19.0,North America,1994.0,14123.0,0.73138077061111628,,0.04896809343921231,planned,327000.0
lexington,0.82449010010898094,228.0,0.01499361495803422,18.0,North America,1760.0,10124.0,0.8199116764125095,,0.041506486879529271,unplanned,292000.0
austin,0.91963766113817891,1355.0,0.0058866610661749965,19.0,North America,4024.0,48026.0,0.75853970706524687,42.5,0.036062167034954823,planned,1430000.0
boston,0.91599703778516406,5325.0,0.008030703354149767,17.0,North America,6192.0,20749.0,0.76109756255719019,40.69,0.037660772043240906,partly,4427000.0
san-diego-tijuana,0.92831086060988344,,0.0067486525964864531,18.0,North America,5931.0,32246.0,0.73660256953610337,39.55,0.046999320980796934,unplanned,
columbus-oh,0.92460040423189105,1321.0,0.0085712872526076626,19.0,North America,5375.0,49012.0,0.76073541078510121,42.17,0.032771015040848055,unplanned,1395000.0
las-vegas,0.88399360923145687,1080.0,0.0052512970626501206,20.0,North America,13039.0,47668.0,0.8039370401117979,70.57,0.025111993591468353,partly,1983000.0
district-of-columbia,0.91863769278480478,3424.0,0.015270291065053322,18.0,North America,7587.0,27007.0,0.74268613600445743,55.7,0.049760463820815941,planned,4679000.0
dc-baltimore,0.92103264363573156,,0.0097109017288299418,18.0,North America,9664.0,29163.0,0.74411393472698251,58.85,0.044407318447607813,partly,
milwaukee,0.92934733639884526,1414.0,0.011106175152707893,19.0,North America,6661.0,34892.0,0.73340769835956687,,0.047608237752516346,unplanned,1385000.0
cleveland,0.85554423985707029,1999.0,0.01924665999149849,18.0,North America,5994.0,24206.0,0.80777918416021077,,0.037744964114689819,unplanned,1765000.0
seattle,0.91885443747666806,2616.0,0.013402441638353886,19.0,North America,3861.0,35090.0,0.73359930823652231,42.03,0.051565897169797481,unplanned,3127000.0
san-francisco,0.89383915992477903,,0.026884122773099081,18.0,North America,5957.0,34509.0,0.75629348934168295,32.25,0.053620872960086663,partly,
atlanta,0.89551164735564104,6851.0,0.0053008152348695894,19.0,North America,6359.0,34349.0,0.78009114438534688,56.04,0.03587078928833265,unplanned,4715000.0
pittsburgh,0.9129643991000983,2344.0,0.0075946403592928261,18.0,North America,3087.0,11775.0,0.76595346780913542,41.67,0.036299884462083931,partly,1717000.0
houston,0.93801238514889862,4644.0,0.0034240973175789532,19.0,North America,25593.0,120933.0,0.76734339372169014,61.72,0.020837989025062755,partly,5383000.0
honolulu,0.89560269685214922,440.0,0.019399681754912589,20.0,North America,2537.0,33375.0,0.75806379692345893,,0.055912201992515412,unplanned,804000.0
st-louis,0.90990358940538496,2393.0,0.012829633220488678,18.0,North America,7353.0,29595.0,0.74955497206984989,78.13,0.050219438561577831,unplanned,2172000.0
charlotte,0.92092486419783792,1919.0,0.0072262376607046671,19.0,North America,5625.0,38533.0,0.7463716609079466,,0.044928300340281078,unplanned,1309000.0
cincinnati,0.95789327707283811,2041.0,0.0090230917810594502,18.0,North America,3983.0,20414.0,0.67978383311975765,,0.061586049138859747,unplanned,1625000.0
